tag,timesteps,episodic_return
symbolic,26219,500.0
symbolic,26242,23.0
symbolic,26512,270.0
symbolic,26633,121.0
symbolic,26641,8.0
symbolic,26684,43.0
symbolic,26692,8.0
symbolic,26710,18.0
symbolic,26783,73.0
symbolic,26888,105.0
symbolic,26896,8.0
symbolic,26907,11.0
symbolic,26915,8.0
symbolic,26925,10.0
symbolic,26935,10.0
symbolic,27130,195.0
symbolic,27139,9.0
symbolic,27149,10.0
symbolic,27176,27.0
symbolic,27186,10.0
symbolic,27241,55.0
symbolic,27662,421.0
symbolic,27672,10.0
symbolic,27680,8.0
symbolic,27715,35.0
symbolic,27797,82.0
symbolic,27806,9.0
symbolic,27816,10.0
symbolic,27826,10.0
symbolic,27899,73.0
symbolic,27971,72.0
symbolic,27981,10.0
symbolic,28038,57.0
symbolic,28139,101.0
symbolic,28243,104.0
symbolic,28253,10.0
symbolic,28265,12.0
symbolic,28275,10.0
symbolic,28294,19.0
symbolic,28486,192.0
symbolic,28496,10.0
symbolic,28506,10.0
symbolic,28515,9.0
symbolic,28525,10.0
symbolic,28535,10.0
symbolic,28550,15.0
symbolic,28560,10.0
symbolic,28577,17.0
symbolic,28799,222.0
symbolic,28809,10.0
symbolic,28973,164.0
symbolic,28983,10.0
symbolic,29109,126.0
symbolic,29149,40.0
symbolic,29160,11.0
symbolic,29198,38.0
symbolic,29208,10.0
symbolic,29228,20.0
symbolic,29238,10.0
symbolic,29280,42.0
symbolic,29310,30.0
symbolic,29318,8.0
symbolic,29328,10.0
symbolic,29346,18.0
symbolic,29356,10.0
symbolic,29396,40.0
symbolic,29424,28.0
symbolic,29454,30.0
symbolic,29496,42.0
symbolic,29506,10.0
symbolic,29518,12.0
symbolic,29527,9.0
symbolic,29538,11.0
symbolic,29579,41.0
symbolic,29588,9.0
symbolic,29600,12.0
symbolic,29617,17.0
symbolic,29628,11.0
symbolic,29636,8.0
symbolic,29654,18.0
symbolic,29664,10.0
symbolic,29674,10.0
symbolic,29682,8.0
symbolic,29694,12.0
symbolic,29705,11.0
symbolic,29714,9.0
symbolic,29724,10.0
symbolic,29732,8.0
symbolic,29744,12.0
symbolic,29752,8.0
symbolic,29761,9.0
symbolic,29771,10.0
symbolic,29779,8.0
symbolic,29789,10.0
symbolic,29809,20.0
symbolic,29817,8.0
symbolic,29862,45.0
symbolic,29875,13.0
symbolic,29893,18.0
symbolic,29901,8.0
symbolic,29911,10.0
symbolic,29921,10.0
