timesteps,return
8.649000000000000000e+03,8.400000000000000000e+01
8.663000000000000000e+03,1.400000000000000000e+01
8.678000000000000000e+03,1.500000000000000000e+01
8.708000000000000000e+03,3.000000000000000000e+01
8.730000000000000000e+03,2.200000000000000000e+01
8.770000000000000000e+03,4.000000000000000000e+01
8.855000000000000000e+03,8.500000000000000000e+01
8.898000000000000000e+03,4.300000000000000000e+01
9.029000000000000000e+03,1.310000000000000000e+02
9.071000000000000000e+03,4.200000000000000000e+01
9.210000000000000000e+03,1.390000000000000000e+02
9.270000000000000000e+03,6.000000000000000000e+01
9.361000000000000000e+03,9.100000000000000000e+01
9.501000000000000000e+03,1.400000000000000000e+02
9.623000000000000000e+03,1.220000000000000000e+02
9.670000000000000000e+03,4.700000000000000000e+01
9.801000000000000000e+03,1.310000000000000000e+02
9.845000000000000000e+03,4.400000000000000000e+01
9.857000000000000000e+03,1.200000000000000000e+01
9.870000000000000000e+03,1.300000000000000000e+01
9.995000000000000000e+03,1.250000000000000000e+02
1.006900000000000000e+04,7.400000000000000000e+01
1.023200000000000000e+04,1.630000000000000000e+02
1.027400000000000000e+04,4.200000000000000000e+01
1.028800000000000000e+04,1.400000000000000000e+01
1.047500000000000000e+04,1.870000000000000000e+02
1.051900000000000000e+04,4.400000000000000000e+01
1.063300000000000000e+04,1.140000000000000000e+02
1.071200000000000000e+04,7.900000000000000000e+01
1.074200000000000000e+04,3.000000000000000000e+01
1.086100000000000000e+04,1.190000000000000000e+02
1.089300000000000000e+04,3.200000000000000000e+01
1.095400000000000000e+04,6.100000000000000000e+01
1.114700000000000000e+04,1.930000000000000000e+02
1.130300000000000000e+04,1.560000000000000000e+02
1.150800000000000000e+04,2.050000000000000000e+02
1.164600000000000000e+04,1.380000000000000000e+02
1.181800000000000000e+04,1.720000000000000000e+02
1.189300000000000000e+04,7.500000000000000000e+01
1.210600000000000000e+04,2.130000000000000000e+02
1.227100000000000000e+04,1.650000000000000000e+02
1.240500000000000000e+04,1.340000000000000000e+02
1.254600000000000000e+04,1.410000000000000000e+02
1.266500000000000000e+04,1.190000000000000000e+02
1.268900000000000000e+04,2.400000000000000000e+01
1.289800000000000000e+04,2.090000000000000000e+02
1.310700000000000000e+04,2.090000000000000000e+02
1.329400000000000000e+04,1.870000000000000000e+02
1.348500000000000000e+04,1.910000000000000000e+02
1.368200000000000000e+04,1.970000000000000000e+02
1.382000000000000000e+04,1.380000000000000000e+02
1.390500000000000000e+04,8.500000000000000000e+01
1.401100000000000000e+04,1.060000000000000000e+02
1.424900000000000000e+04,2.380000000000000000e+02
