environment,timestep,episode_return,episode_length
Custom,17638,36.236568,59
Custom,17686,18.914311,48
Custom,17748,32.891332,62
Custom,17864,66.826257,116
Custom,17962,63.900319,98
Custom,18017,26.08603,55
Custom,18111,56.085631,94
Custom,18261,98.391964,150
Custom,18328,36.396256,67
Custom,18463,83.786646,135
Custom,18637,103.915457,174
Custom,18697,15.559746,60
Custom,18759,28.051082,62
Custom,18846,27.323513,87
Custom,18937,50.511039,91
Custom,19002,28.765687,65
Custom,19121,75.11003,119
Custom,19210,34.778545,89
Custom,19327,85.986777,117
Custom,19415,41.276065,88
Custom,19473,30.158841,58
Custom,19596,85.161623,123
Custom,19666,41.777053,70
Custom,19815,103.109286,149
Custom,19917,48.455562,102
Custom,20013,49.376239,96
Custom,20086,36.303777,73
Custom,20167,29.551243,81
Custom,20298,89.565307,131
Custom,20380,35.464631,82
Custom,20430,11.160274,50
Custom,20501,28.345812,71
Custom,20598,65.946529,97
Custom,20730,94.109951,132
Custom,20860,78.195116,130
Custom,20942,49.117385,82
Custom,21019,44.055533,77
Custom,21101,39.910944,82
Custom,21160,34.729234,59
Custom,21245,35.093132,85
Custom,21369,85.427745,124
Custom,21502,87.525583,133
Custom,21617,76.139247,115
Custom,21737,78.000537,120
Custom,21844,46.027404,107
Custom,21986,104.057962,142
Custom,22118,82.997044,132
Custom,22218,53.08877,100
Custom,22341,82.991033,123
Custom,22426,21.109521,85
Custom,22511,23.516844,85
Custom,22701,135.483089,190
Custom,22814,57.607087,113
Custom,22885,20.799915,71
Custom,22960,2.970104,75
Custom,23060,-4.259511,100
Custom,23241,107.104053,181
Custom,23355,40.816155,114
Custom,23479,69.684082,124
Custom,23631,96.567226,152
Custom,23728,53.379639,97
Custom,23871,76.488633,143
Custom,23976,17.611528,105
Custom,24079,45.735797,103
Custom,24187,59.682611,108
Custom,24274,33.575155,87
Custom,24357,27.893582,83
Custom,24436,24.240835,79
Custom,24584,46.158965,148
Custom,24666,26.193177,82
Custom,24803,99.170305,137
Custom,24907,38.951038,104
Custom,25022,57.993014,115
Custom,25131,49.868068,109
Custom,25324,120.480515,193
Custom,25407,24.67848,83
Custom,25557,81.465626,150
Custom,25616,3.605196,59
Custom,25701,33.803244,85
Custom,25806,41.607933,105
Custom,25883,29.54404,77
Custom,25997,31.093464,114
Custom,26092,58.558181,95
Custom,26255,107.361116,163
Custom,26413,107.568665,158
Custom,26481,4.528717,68
Custom,26613,81.196329,132
Custom,26714,22.49487,101
Custom,26840,63.631316,126
Custom,26937,37.550948,97
Custom,27079,70.175469,142
Custom,27202,62.298417,123
Custom,27323,51.226811,121
Custom,27489,128.444337,166
Custom,27675,80.897164,186
Custom,27806,92.0872,131
Custom,27953,95.311622,147
Custom,28103,84.531591,150
Custom,28190,41.228163,87
Custom,28328,82.400161,138
Custom,28585,189.651783,257
Custom,28728,93.304462,143
Custom,28822,38.947394,94
Custom,28919,34.229833,97
Custom,29089,120.60409,170
Custom,29228,91.08087,139
Custom,29416,114.746352,188
Custom,29545,83.597549,129
Custom,29641,23.11053,96
Custom,29787,92.072961,146
Custom,29915,68.191898,128
Custom,30039,73.163687,124
Custom,30194,98.874917,155
Custom,30396,163.398895,202
Custom,30488,32.850598,92
Custom,30934,379.180521,446
Custom,31144,153.705209,210
Custom,31373,138.796627,229
Custom,31582,152.820276,209
Custom,31808,175.025576,226
Custom,31989,127.334847,181
Custom,32155,91.854949,166
Custom,32443,221.054324,288
Custom,32733,227.253993,290
Custom,32977,177.917709,244
Custom,33477,467.058893,500
Custom,33879,297.064197,402
Custom,34231,271.592507,352
Custom,34731,443.012284,500
Custom,35231,467.171531,500
Custom,35731,446.0169,500
Custom,36231,443.627917,500
Custom,36731,438.945613,500
Custom,37231,468.465646,500
Custom,37731,457.859991,500
Custom,38231,466.666816,500
Custom,38731,462.066424,500
Custom,39231,472.16133,500
Custom,39731,470.002147,500
Custom,40231,473.750813,500
Custom,40731,472.741219,500
Custom,41231,475.385575,500
Custom,41731,479.576823,500
Custom,42231,477.542613,500
Custom,42731,474.20418,500
Custom,43231,477.687265,500
Custom,43731,480.232155,500
Custom,44231,480.581471,500
Custom,44731,478.281709,500
Custom,45231,480.100341,500
Custom,45731,482.518856,500
Custom,46231,481.531046,500
Custom,46731,480.729019,500
Custom,47231,482.576928,500
Custom,47731,483.802928,500
Custom,48231,481.646419,500
