Epoch,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,AverageEpCost,StdEpCost,MaxEpCost,MinEpCost,EpLen,CumulativeCost,CostRate,AverageVVals,StdVVals,MaxVVals,MinVVals,AverageCostVVals,StdCostVVals,MaxCostVVals,MinCostVVals,LossPi,DeltaLossPi,SurrCost,DeltaSurrCost,LossV,DeltaLossV,LossVC,DeltaLossVC,Penalty,DeltaPenalty,StopIter,Entropy,KL,TotalEnvInteracts,Time,ViolationsPerEpoch
37,74.73585,18.502575,121.0,44.0,2.6660259,1.0006026,6.2785616,0.72434676,74.73585,4830.1733,0.031777456,29.389954,5.7637987,31.221113,-2.8400168,1.5558076,0.1048933,1.75113,0.68896884,-9.547563e-09,-0.0027959787,-2.4437905e-09,0.001636103,238.18407,-4.228348,0.536754,-0.002948463,0.3005371,-0.00363037,79.0,1.0093408,0.00442823,152000,90.17550086975098,0
38,81.38776,27.885931,188.0,48.0,2.5584953,1.0122894,5.7147574,0.47739914,81.38776,4955.5845,0.031766567,31.502293,5.6882577,33.134705,-0.988994,1.5758055,0.1127788,1.7955889,0.54961133,4.3374e-09,-0.0047940784,4.768372e-10,0.0016107898,320.21756,-5.89151,0.6207316,-0.017623127,0.29690674,-0.0054093897,79.0,1.028367,0.006729539,156000,92.5042154788971,0
39,77.05882,18.110132,141.0,47.0,2.9871297,0.9925723,6.217225,1.568476,77.05882,5110.873,0.031942956,32.960552,6.8962064,35.364758,-3.7580185,1.4455012,0.14172146,1.7694497,0.5753773,9.671281e-09,-0.0042219665,-4.5895576e-09,0.0033926982,242.16716,-0.93434143,0.63339484,-0.11791623,0.29149735,-0.005872071,79.0,1.0540926,0.00678014,160000,94.8645842075348,0
40,88.2,30.86717,197.0,51.0,2.9975915,1.0096918,5.561389,0.6511282,88.2,5245.8867,0.031987116,32.541782,6.3483424,34.581554,0.34055334,1.7741215,0.12717532,2.0267513,0.8806547,6.5902377e-09,-0.004263915,-2.2649764e-09,0.0034480172,345.57013,-12.249207,0.65387845,-0.023926854,0.28562528,-0.00458768,79.0,1.0937735,0.0057514114,164000,97.32113194465636,0
41,88.577774,24.297682,179.0,58.0,3.3070757,1.1825271,6.3242307,0.8990935,88.577774,5394.7417,0.03211156,35.98775,6.0573287,37.589855,-2.9290857,1.6160161,0.14456108,1.8947196,0.6190352,9.75072e-09,-0.0038108865,3.7252903e-09,-0.00017864305,317.74893,-0.76919556,0.80038345,-0.051590264,0.2810376,-0.00026208162,79.0,1.1225973,0.0042659137,168000,99.6860420703888,0
42,113.314285,44.898468,258.0,62.0,2.9814484,1.3938223,6.2508063,0.86187255,113.314285,5499.552,0.031974137,35.813507,5.173391,36.995827,-1.9536585,1.8470212,0.1538291,2.1388986,0.8640844,3.205258e-10,-0.005917052,8.255244e-09,0.000865962,519.4103,-48.115295,1.0853436,-0.17710286,0.28077552,-0.0013509393,79.0,1.1281539,0.0057948655,172000,102.05605101585388,0
43,116.20588,36.107502,241.0,69.0,3.246609,1.005884,5.659513,1.7071295,116.20588,5610.153,0.031875867,40.59424,5.4766393,41.81867,-2.5060914,1.4315274,0.113227665,1.6324236,0.48840237,7.4148785e-09,-0.002297935,-1.7881394e-10,0.00092322036,436.8868,-19.365662,0.60347193,-0.040450096,0.27942458,0.0019947588,79.0,1.1516931,0.0035509542,176000,104.58145308494568,0
44,147.48148,77.4541,370.0,69.0,3.3523884,1.114366,5.7193775,1.1985844,147.48148,5700.761,0.031670894,41.354843,6.9234853,43.58041,2.2592885,1.6187714,0.11519845,1.8173374,0.6311955,-6.835737e-09,-0.0041817063,3.3974648e-09,-0.00027384318,692.5713,-84.82831,0.7585105,-0.0873124,0.28141934,0.0025254786,79.0,1.1666423,0.0049460903,180000,106.97471523284912,0
45,186.66667,70.03423,385.0,64.0,3.2004604,1.189875,5.9582605,1.572073,186.66667,5768.54,0.03135076,46.15734,7.593815,48.54196,1.8159487,1.3701252,0.15531163,1.8017925,0.60587364,-1.13226255e-08,-0.007851977,-3.3378602e-09,0.0007564538,650.49835,-83.30206,0.5728536,-0.08054042,0.28394482,-0.0010596812,79.0,1.1806095,0.0076363343,184000,109.40825271606444,0
46,211.77777,113.11231,489.0,92.0,3.684049,1.3297361,6.6008873,1.4206996,211.77777,5835.3643,0.03103917,51.391987,5.038345,52.712883,4.123,1.1644905,0.11352134,1.4724143,0.15615469,-4.5162194e-09,-0.0036146538,-1.7285346e-09,-0.00088460714,775.62274,-229.4867,0.768068,-0.14185035,0.28288513,0.004492402,79.0,1.2188779,0.0030829515,188000,111.80472660064696,0
47,271.42856,232.59674,1000.0,106.0,3.7994556,1.3950939,6.2068486,1.6583325,271.42856,5889.3745,0.030673826,52.310146,8.465562,56.472317,2.2767186,1.1739649,0.21442401,1.9166082,0.6913324,4.8614684e-08,-0.004408254,-4.7683715e-09,-0.0006011198,844.0395,-223.15497,0.68784624,-0.14564395,0.28737754,0.005212605,79.0,1.2275732,0.0046006544,192000,114.21582078933716,0
48,510.57144,224.32939,877.0,217.0,3.1844296,0.98093367,4.5239754,1.7199262,510.57144,5913.5195,0.030171018,56.75983,11.51185,61.2375,1.5627141,0.89364415,0.4436224,2.3520315,-0.0588493,-1.0609526e-08,-0.0030835036,3.6507846e-09,-0.0031966618,891.9805,-211.2265,0.42770338,-0.25971022,0.29259014,0.008877456,6.0,1.2445059,0.01623421,196000,116.31253933906557,0
49,466.375,235.29393,1000.0,169.0,4.693145,2.2622178,9.977812,1.5675865,466.375,5951.9116,0.029759558,62.92132,9.295748,65.54701,9.89359,0.28098255,0.14120828,1.1909788,-0.24549685,-6.8466317e-09,-0.0046854764,-1.8775463e-09,-0.0021595547,665.39435,-142.82782,1.2140757,-0.49272275,0.3014676,0.0102007985,5.0,1.2451675,0.015782148,200000,118.4458920955658,0
50,1000.0,0.0,1000.0,1000.0,1.4520133,0.54427093,2.377806,1.0044961,1000.0,5957.7197,0.029204508,68.20478,1.5397092,68.6501,48.079437,0.63992417,0.13252525,1.101024,0.11102364,-1.1645263e-07,-0.0048914035,-6.6310166e-09,0.000997222,860.2685,-209.6897,0.2544916,-0.23301801,0.3116684,0.001842618,79.0,1.244825,0.0047098435,204000,120.9235167503357,0
51,1000.0,0.0,1000.0,1000.0,2.7161403,1.1874274,4.7401404,1.8111998,1000.0,5968.584,0.028695116,72.11122,0.37482458,72.20742,64.46305,0.20086913,0.025893921,0.3179275,0.11296234,-2.5176053e-07,-0.0030770644,7.4878337e-10,-0.001023686,662.61865,-140.58148,0.049574975,-0.0041990206,0.313511,0.008448869,7.0,1.2326425,0.01671374,208000,123.0319459438324,0
52,779.25,382.35022,1000.0,117.0,1.0325089,0.538547,1.7197542,0.43697712,779.25,5973.416,0.02817649,75.06631,0.039334323,75.08929,74.16634,0.19273834,0.03518212,0.33185568,0.0047234083,3.1940356e-08,-0.0067782854,1.1846423e-09,-5.0638897e-05,555.3453,-88.881805,0.021958413,-0.011527047,0.32195988,-0.0005491376,79.0,1.2302643,0.00827956,212000,125.37584352493286,0
53,1000.0,0.0,1000.0,1000.0,0.8264235,0.12092259,1.0213805,0.69449216,1000.0,5976.7217,0.027670007,77.337234,0.014480557,77.348274,77.13173,0.096961364,0.015956117,0.1777683,0.0005023222,2.1339656e-07,-0.002210428,-2.0116568e-10,-0.00013156519,437.22693,-81.68399,0.0069772843,-0.0016705226,0.32141075,0.0018916428,79.0,1.2114878,0.004809962,216000,127.75985169410706,0
54,887.0,195.72174,1000.0,548.0,2.4951544,1.590592,4.8463097,0.58846563,887.0,5987.3203,0.027215092,78.82684,5.5952525,79.45534,3.254439,0.04648312,0.069773436,0.085576594,-1.5160315,2.4450677e-09,-0.0031839043,7.8976153e-10,-0.00057383097,342.52713,-58.859497,0.19564267,-0.10695283,0.3233024,0.0026586056,79.0,1.2063276,0.0066366256,220000,130.13649201393127,0
55,1000.0,0.0,1000.0,1000.0,0.8903779,0.24036631,1.2271367,0.5504349,1000.0,5990.882,0.026745008,81.15895,0.04922606,81.19221,80.554985,0.1710835,0.08711534,0.45465404,-0.0956051,-4.841461e-07,-0.0026276573,-4.1723253e-10,-0.0012794021,302.19888,-55.210617,0.017175838,-0.010608917,0.325961,0.0019600391,79.0,1.1867299,0.0079772305,224000,132.48503732681274,0
56,1000.0,0.0,1000.0,1000.0,0.8012864,0.28381062,1.2095823,0.44807693,1000.0,5994.087,0.026289854,82.88983,0.00828318,82.89626,82.740395,-0.015856229,0.061678577,0.22141889,-0.18798107,-4.798854e-07,-0.0019499047,-5.9604643e-10,-0.0006120198,249.20575,-45.672913,0.015585873,-0.0084433835,0.32792103,0.00037118793,79.0,1.1927648,0.0060611935,228000,134.86276173591614,0
57,998.25,3.0310888,1000.0,993.0,3.019762,1.2723556,4.820484,1.578425,998.25,6006.377,0.025889555,83.70505,6.374196,84.45615,8.356935,-0.0050789546,0.064235814,0.43409923,-0.30301106,7.4532934e-08,-0.0035681229,-3.0919909e-09,6.37985e-06,207.62097,-37.082916,0.14608993,-0.09969578,0.32829222,0.0026679635,7.0,1.2099314,0.0145889865,232000,136.985924243927,0
58,1000.0,0.0,1000.0,1000.0,0.6101411,0.1712671,0.8550477,0.38357788,1000.0,6008.8174,0.02546109,85.766304,0.012117641,85.7775,85.65088,0.25834742,0.019922782,0.34042552,0.18878111,-6.322032e-08,-0.002469925,7.748604e-10,4.9766568e-05,172.45384,-31.915909,0.042327702,-0.038551822,0.33096018,-0.0023976266,79.0,1.2109339,0.004117982,236000,139.56489205360413,0
59,1000.0,0.0,1000.0,1000.0,0.87956464,0.17149547,1.0445694,0.6388599,1000.0,6012.3354,0.025051398,87.08087,0.005648548,87.08782,87.03169,0.06577811,0.012867186,0.11642783,0.028688664,3.388038e-07,-0.0012039192,-3.7252902e-11,-0.00014278997,142.08095,-26.84745,0.002670796,-2.6303576e-05,0.32856256,-0.0016610026,79.0,1.2122122,0.005630243,240000,142.08056449890137,0
