algorithm,timesteps,mean_episode_length,std_episode_length
PPO+CBF,90000.0,1000.0,0.0
PPO+CBF,95000.0,988.7275813295615,22.544837340876942
PPO+CBF,100000.0,618.2,337.0159640135761
PPO+CBF,105000.0,945.1984375,109.603125
PPO+CBF,110000.0,1000.0,0.0
PPO+CBF,115000.0,1000.0,0.0
PPO+CBF,120000.0,577.4,311.21863697407326
PPO+CBF,125000.0,942.1912031047865,115.61759379042691
PPO+CBF,130000.0,1000.0,0.0
PPO+CBF,135000.0,890.3111999999999,219.3776
PPO+CBF,140000.0,914.4,171.20000000000002
PPO+CBF,145000.0,964.3648000000001,71.27040000000002
PPO+CBF,150000.0,966.9748,66.05039999999998
PPO+CBF,155000.0,879.6696846153845,164.4397243975322
PPO+CBF,160000.0,897.8,204.39999999999998
PPO+CBF,165000.0,1000.0,0.0
PPO+CBF,170000.0,965.7922000000001,68.4156
PPO+CBF,175000.0,1000.0,0.0
PPO+CBF,180000.0,899.2,201.6
PPO+CBF,185000.0,1000.0,0.0
PPO+CBF,190000.0,1000.0,0.0
PPO+CBF,195000.0,1000.0,0.0
PPO+CBF,200000.0,840.4,319.20000000000005
