environment,epoch,episode_return,episode_length
Standard,26.89208984375,500.0,500
Standard,27.13623046875,500.0,500
Standard,27.38037109375,500.0,500
Standard,27.62451171875,500.0,500
Standard,27.86865234375,500.0,500
Standard,28.11279296875,500.0,500
Standard,28.35693359375,500.0,500
Standard,28.60107421875,500.0,500
Standard,28.84521484375,500.0,500
Standard,29.08935546875,500.0,500
Standard,29.33349609375,500.0,500
Standard,29.57763671875,500.0,500
Standard,29.82177734375,500.0,500
Standard,30.06591796875,500.0,500
Standard,30.31005859375,500.0,500
Standard,30.55419921875,500.0,500
Standard,30.79833984375,500.0,500
Standard,31.04248046875,500.0,500
Standard,31.28662109375,500.0,500
Standard,31.53076171875,500.0,500
Standard,31.77490234375,500.0,500
Standard,32.01904296875,500.0,500
Standard,32.26318359375,500.0,500
Standard,32.50732421875,500.0,500
Standard,32.75146484375,500.0,500
Standard,32.99560546875,500.0,500
Standard,33.23974609375,500.0,500
Standard,33.48388671875,500.0,500
Standard,33.72802734375,500.0,500
Standard,33.97216796875,500.0,500
Standard,34.21630859375,500.0,500
Standard,34.46044921875,500.0,500
Standard,34.70458984375,500.0,500
Standard,34.94873046875,500.0,500
Standard,35.19287109375,500.0,500
Standard,35.43701171875,500.0,500
Standard,35.68115234375,500.0,500
Standard,35.92529296875,500.0,500
Standard,36.16943359375,500.0,500
Standard,36.41357421875,500.0,500
Standard,36.65771484375,500.0,500
Standard,36.90185546875,500.0,500
Standard,37.14599609375,500.0,500
Standard,37.39013671875,500.0,500
Standard,37.63427734375,500.0,500
Standard,37.87841796875,500.0,500
Standard,38.12255859375,500.0,500
Standard,38.36669921875,500.0,500
Standard,38.61083984375,500.0,500
Standard,38.85498046875,500.0,500
Standard,39.09912109375,500.0,500
Standard,39.34326171875,500.0,500
Standard,39.58740234375,500.0,500
Standard,39.83154296875,500.0,500
Standard,40.07568359375,500.0,500
Standard,40.31982421875,500.0,500
Standard,40.56396484375,500.0,500
Standard,40.80810546875,500.0,500
Standard,41.05224609375,500.0,500
Standard,41.29638671875,500.0,500
Standard,41.54052734375,500.0,500
Standard,41.78466796875,500.0,500
Standard,42.02880859375,500.0,500
Standard,42.27294921875,500.0,500
Standard,42.51708984375,500.0,500
Standard,42.76123046875,500.0,500
Standard,43.00537109375,500.0,500
Standard,43.24951171875,500.0,500
Standard,43.49365234375,500.0,500
Standard,43.73779296875,500.0,500
Standard,43.98193359375,500.0,500
Standard,44.22607421875,500.0,500
Standard,44.47021484375,500.0,500
Standard,44.71435546875,500.0,500
Standard,44.95849609375,500.0,500
Standard,45.20263671875,500.0,500
Standard,45.44677734375,500.0,500
Standard,45.69091796875,500.0,500
Standard,45.93505859375,500.0,500
Standard,46.17919921875,500.0,500
Standard,46.42333984375,500.0,500
Standard,46.66748046875,500.0,500
Standard,46.91162109375,500.0,500
Standard,47.15576171875,500.0,500
Standard,47.39990234375,500.0,500
Standard,47.64404296875,500.0,500
Standard,47.88818359375,500.0,500
Standard,48.13232421875,500.0,500
Standard,48.37646484375,500.0,500
Standard,48.62060546875,500.0,500
